agency_cd	site_no	site_tp_cd	lev_dt	lev_tm	lev_tz_cd	lev_va	sl_lev_va	sl_datum_cd	lev_status_cd	lev_agency_cd	lev_dt_acy_cd	lev_acy_cd	lev_src_cd	lev_meth_cd	lev_age_cd
USGS	385128077001601	GW	1940-02-29		UTC	59.00					D	2	U	S	A
USGS	385128077001601	GW	1940-03-06		UTC	57.20					D	2	U	S	A
USGS	385128077001601	GW	1940-03-13		UTC	55.68					D	2	U	S	A
USGS	385128077001601	GW	1940-03-20		UTC	54.01					D	2	U	S	A
USGS	385128077001601	GW	1940-03-27		UTC	52.90					D	2	U	S	A
USGS	385128077001601	GW	1940-04-03		UTC	51.48					D	2	U	S	A
USGS	385128077001601	GW	1940-04-10		UTC	50.07					D	2	U	S	A
USGS	385128077001601	GW	1940-04-17		UTC	48.95					D	2	U	S	A
USGS	385128077001601	GW	1940-04-23		UTC	47.77					D	2	U	S	A
USGS	385128077001601	GW	1940-05-01		UTC	46.64					D	2	U	S	A
USGS	385128077001601	GW	1940-05-08		UTC	45.81					D	2	U	S	A
USGS	385128077001601	GW	1940-05-15		UTC	44.89					D	2	U	S	A
USGS	385128077001601	GW	1940-05-22		UTC	43.86					D	2	U	S	A
USGS	385128077001601	GW	1940-05-29		UTC	43.06					D	2	U	S	A
USGS	385128077001601	GW	1940-06-05		UTC	42.46					D	2	U	S	A
USGS	385128077001601	GW	1940-06-27		UTC	40.52					D	2	U	S	A
USGS	385128077001601	GW	1940-07-08		UTC	40.06					D	2	U	S	A
USGS	385128077001601	GW	1940-07-22		UTC	39.60					D	2	U	S	A
USGS	385128077001601	GW	1940-08-05		UTC	39.27					D	2	U	S	A
USGS	385128077001601	GW	1940-08-19		UTC	39.94					D	2	U	S	A
USGS	385128077001601	GW	1940-08-30		UTC	40.34					D	2	U	S	A
USGS	385128077001601	GW	1940-09-23		UTC	41.49					D	2	U	S	A
USGS	385128077001601	GW	1940-10-21		UTC	41.19					D	2	U	S	A
USGS	385128077001601	GW	1940-11-04		UTC	41.14					D	2	U	S	A
USGS	385128077001601	GW	1940-11-25		UTC	40.66					D	2	U	S	A
USGS	385128077001601	GW	1940-12-30		UTC	39.52					D	2	U	S	A
USGS	385128077001601	GW	1941-01-06		UTC	40.52					D	2	U	S	A
USGS	385128077001601	GW	1941-02-10		UTC	38.98					D	2	U	S	A
USGS	385128077001601	GW	1941-02-17		UTC	37.88					D	2	U	S	A
USGS	385128077001601	GW	1941-02-24		UTC	37.69					D	2	U	S	A
USGS	385128077001601	GW	1941-03-03		UTC	36.86					D	2	U	S	A
USGS	385128077001601	GW	1941-03-17		UTC	36.41					D	2	U	S	A
USGS	385128077001601	GW	1941-03-24		UTC	36.44					D	2	U	S	A
USGS	385128077001601	GW	1941-03-31		UTC	36.34					D	2	U	S	A
USGS	385128077001601	GW	1941-04-07		UTC	36.36					D	2	U	S	A
USGS	385128077001601	GW	1941-04-14		UTC	36.62					D	2	U	S	A
USGS	385128077001601	GW	1941-04-26		UTC	37.77					D	2	U	S	A
USGS	385128077001601	GW	1941-05-12		UTC	39.42					D	2	U	S	A
