agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	150133024190801	FF06 (Mosteiros)	15.02588889	-24.31900000	1	NAD83	 203	 10	NAVD88	231.6	231.6
USGS	150221024201401	FF07 -Mosteiros	15.03905556	-24.33725000	1	NAD83	 66	 10	NAVD88	117.4	117.4
USGS	150229024204301	FF29 - Moisteiros	15.04150000	-24.34538889	1	NAD83	 190	 10	NAVD88	202	202
USGS	150246024210401	FF21 - Mosteiros basin	15.04611110	-24.35111110	S	NAD83	 131.2	 10	NAVD88	173.9	173.9
USGS	150246024210402	FF22 -Mosteiros	15.04602778	-24.35102778	1	NAD83	 115	 10	NAVD88		
USGS	163950024191401	FN39 -Faja basin	16.66397222	-24.32047220	1	NAD83	 305	 10	NAVD88	342.2	342.2
USGS	170820025014001	FA57 - Paul Basin	17.13897222	-25.02786110	1	NAD83	 354	 10	NAVD88	141	141
USGS	170849025010401	FA93 - Paul Basin	17.14694444	-25.01777778	S	NAD83	 66	 10	NAVD88	69.2	69.2
USGS	365345113552301	 (B-40-15) 4bdc- 1	36.89581038	-113.92385430	S	NAD83	 1789.09	 10	NGVD29	11.5	11.5
USGS	365346113552301	 (B-40-15) 4bdc- 3	36.89608815	-113.92385430	S	NAD83	 1785.33	 10	NGVD29	8.5	8.5
USGS	365349113551701	 (B-40-15) 4bdd- 1	36.89692150	-113.92218760	S	NAD83	 1787.93	 10	NGVD29	10.6	10.6
USGS	365349113552201	 (B-40-15) 4bdc- 2	36.89692149	-113.92357650	S	NAD83	 1788.36	 10	NGVD29	7.95	7.95
USGS	365352113551401	 (B-40-15) 4bda- 1	36.89775485	-113.92135420	S	NAD83	 1788.34	 10	NGVD29	9.50	9.50
USGS	365352113551901	 (B-40-15) 4bdb- 1	36.89775480	-113.92274320	S	NAD83	 1788.34	 10	NGVD29	8.5	8.5
USGS	365537113572701	 (B-41-15)30aca- 1	36.92692090	-113.95829950	S	NAD83	 1920.	 20	NGVD29	350.	
USGS	365545110120301	OW-15	36.92916730	-110.20151870	S	NAD83	 5303	4.3	NAVD88	105	110
USGS	365630110121101	OW-14	36.94166737	-110.20374100	S	NAD83	 5271	4.3	NAVD88	107	110
USGS	365657110113401	571808 4089325	36.94916748	-110.19429610	S	NAD83	 5255.	 05	NGVD29	88.	94.
USGS	365725113582601	B-41-16 13ADA	36.95692057	-113.97468890	F	NAD83	 2022.00	  5	NGVD29	176.00	176.00
USGS	365800110115801	571173 4091282	36.96666754	-110.20124080	S	NAD83	 5211.	 05	NGVD29	59.	59.
USGS	365816110131301	569358 4091796	36.97166746	-110.22151940	S	NAD83	 5193.	 05	NGVD29	104.	104.
USGS	365818110124001	570173 4091836	36.97194529	-110.21235240	S	NAD83	 5198.	 05	NGVD29	74.	99.
USGS	365819113560701	 (B-41-15) 8ada- 1	36.97192100	-113.93607730	S	NAD83	 2285	 10	NGVD29	600	600
USGS	365832110120801	OW-13	36.97555648	-110.20290760	S	NAD83					50.0
USGS	365840110125801	569692 4092511	36.97805640	-110.21763030	S	NAD83	 5193.	 05	NGVD29	55.	80.
USGS	365843113590801	 (B-41-16) 1cca- 1	36.98164250	-113.98635590	S	NAD83	 2110	 10	NGVD29		
USGS	365912110152701	565970 4093484	36.98694504	-110.25929830	S	NAD83	 5138.	 05	NGVD29	177.	177.
USGS	365931110162201	564634 4094070	36.99250038	-110.27429850	S	NAD83	 5096.	 01	NGVD29	170.	170.
USGS	365931110162401	564610 4094080	36.99250038	-110.27457630	S	NAD83	 5096.	 01	NGVD29	138.	138.
USGS	365931110162501	564550 4094071	36.99250037	-110.27540970	S	NAD83	 5095.	 01	NGVD29	129.	138.
USGS	365932110162201	564641 4094084	36.99250038	-110.27429850	S	NAD83	 5096.	 01	NGVD29	142.	142.
USGS	365932110162301	564673 4094055	36.99222260	-110.27374300	S	NAD83	 5110.	 20	NGVD29	158.	158.
USGS	365954110163301	 (D-43-15)32dcd- 1	36.99833370	-110.27652080	S	NAD83	 5093.0	  1	NGVD29	120.0	120.0
USGS	370000113273301	 (C-43-14)31ddd- 1	36.99998280	-113.45995170	F	NAD83	 2820	 20	NGVD29	14	
USGS	370001112575901	B-42-06 32BDB	37.00026200	-112.96715890	S	NAD83	 5015.	 20	NGVD29	84.	84.
USGS	370006111300401	 (D-44- 4) 8bac- 1	37.00165380	-111.50182720	S	NAD83	 3735.39	 .1	NGVD29		
USGS	370010111302501	 (D-44- 4) 7aab- 1	37.00276485	-111.50766080	F	NAD83	 3722	 20	NGVD29	800	800
USGS	370010113002001	(C-43-10)32dca-1	37.00277778	-113.00555560	U	NAD83					
USGS	370017113002001	(C-43-10)32dba-1	37.00472220	-113.00555560	U	NAD83					
USGS	370021110174201	 (D-43-15)31acc- 1	37.00583330	-110.29568760	S	NAD83	 5040.00	020	NGVD29	225.0	225.0
USGS	370026110173801	 (D-43-15)31aca- 1	37.00722220	-110.29457640	S	NAD83	 5030.0	020	NGVD29	50.0	60.0
USGS	370033111374701	(D-44- 3) 6cac-1	37.00916667	-111.62972220	U	NAD83					
USGS	370034113290801	 (C-43-15)25cdd- 1	37.00942700	-113.48634110	R	NAD83	 2770	 10	NGVD29	384.00	405.00
USGS	370036113282801	 (C-43-14)31bbb- 1	37.00998260	-113.47522980	F	NAD83	 2810	5	NGVD29		
USGS	370037113281401	 (C-43-14)31bab- 1	37.01026040	-113.47134080	S	NAD83	 2830	 10	NGVD29	200	290
USGS	370045113284201	 (C-43-15)25ddd- 1	37.01248259	-113.47911880	F	NAD83	 2795.00	 20	NGVD29	144	
USGS	370050112274501	 (C-44- 5) 6cbb- 1	37.01387470	-112.46325620	F	NAD83	 4980.	 20	NGVD29	80.	
USGS	370102111331201	(D-44- 3) 2bad-1	37.01722220	-111.55333330	U	NAD83					
USGS	370116110183301	 (D-43-14)25adc- 1	37.02111070	-110.30985420	S	NAD83	 4922.	 20	NGVD29		
USGS	370120113555201	 (C-43-19)25bbb- 1	37.02219870	-113.93191130	F	NAD83	 2790.	 20	NGVD29	818.	818.
