agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	424515073140501	VT-PQW    3	42.75424610	-73.23427470	F	NAD83	 540.00	20	NGVD29	76.0	
USGS	424529072302001	VT-VNW  103	42.75813828	-72.50508880	S	NAD83	 266	10	NGVD29	300	300
USGS	424532072290301	VT-VNW  105	42.75897167	-72.48369950	S	NAD83	 260	10	NGVD29	155	155
USGS	424540072310201	VT-VNW  114	42.76119380	-72.51675570	S	NAD83	 262	10	NGVD29	98	105
USGS	424542072305801	VT-VNW  109	42.76174937	-72.51564460	S	NAD83	 289	10	NGVD29	220	220
USGS	424542072312601	VT-VNW    2	42.76174937	-72.52342250	S	NAD83	 350	10	NGVD29	134	134
USGS	424543072303201	VT-VNW  117	42.76202710	-72.50842220	T	NAD83					
USGS	424545072302601	VT-VNW  118	42.76258269	-72.50675550	T	NAD83					
USGS	424545072302901	VT-VNW  100	42.76258269	-72.50758888	S	NAD83	 300	10	NGVD29	710	710
USGS	424554073141101	VT-PQW   18WELL	42.76507937	-73.23594150	T	NAD83					
USGS	424555072310301	VT-VNW  112	42.76536045	-72.51703350	S	NAD83	 300	10	NGVD29	300	300
USGS	424602072295701	VT-VNW  102	42.76730487	-72.49869980	S	NAD83	 260	10	NGVD29	345	345
USGS	424603072310601	VT-VNW  115	42.76758265	-72.51786688	S	NAD83	 223	10	NGVD29	260	260
USGS	424608072310701	VT-VNW  110	42.76897150	-72.51814470	S	NAD83	 300	10	NGVD29	150	150
USGS	424614072311301	VT-VNW  106	42.77063818	-72.51981140	S	NAD83	 262	10	NGVD29	60	60
USGS	424621072305801	VT-VNW  111	42.77258260	-72.51564460	S	NAD83	 262	10	NGVD29	355	355
USGS	424628073143401	VT-PQW    2	42.77452368	-73.24233058	S	NAD83	 530.00	20	NGVD29	58.0	
USGS	424633072310001	VT-VNW  116	42.77591590	-72.51620018	S	NAD83	 262	10	NGVD29	300	300
USGS	424650072312401	VT-VNW  101	42.78063809	-72.52286700	S	NAD83	 262	10	NGVD29	175	175
USGS	424656072313001	VT-VNW  104	42.78230475	-72.52453370	S	NAD83	 262	10	NGVD29	48	48
USGS	424721072315601	VT-VNW  108	42.78924910	-72.53175608	S	NAD83	 305	10	NGVD29	400	400
USGS	424722072315801	VT-VNW  107	42.78952690	-72.53231170	S	NAD83	 305	10	NGVD29	400	400
USGS	424738072395301	VT-GXW    1	42.79326389	-72.66404170	5	NAD83	 787	 10	NGVD29	10.6	10.6
USGS	424748073160101	VT-PQW   13	42.79674560	-73.26649790	T	NAD83					
USGS	424749073160101	VT-PQW   14	42.79702338	-73.26649790	T	NAD83					
USGS	424750073160301	VT-PQW   15	42.79730115	-73.26705349	T	NAD83					
USGS	424756073115401	VT-PQW   16NEW WELL	42.79896840	-73.19788490	T	NAD83					
USGS	424758073113901	VT-PQW   17OLD GRAVEL WELL	42.79952400	-73.19371810	T	NAD83					
