agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	421232089284401	WS-20/09E/18-0670	44.20886190	-89.47900880	S	NAD83	 1115.00	5	NGVD29	80.5	113
USGS	421232089284402	WS-20/09E/18-0671	44.20886190	-89.47900880	S	NAD83	 1115.00	5	NGVD29	33.5	38.0
USGS	422927088151601	KE-01/19E/28-0300	42.51224068	-88.25425740	S	NAD83	 910.00	  5	NGVD29	1164	1164
USGS	422943088193802	WW-01/18E/35-0540	42.49529624	-88.32731520	S	NAD83	 820.00	  5	NGVD29	95.0	135
USGS	422945088193901	WW-01/18E/35-0001	42.49585179	-88.32759300	F	NAD83	 824.00	  5	NGVD29	1080	1080
USGS	422949088052801	KE-01/20E/35-0142	42.49696368	-88.09119530	F	NAD83	 822.00	5	NGVD29	210	210
USGS	422950088045801	KE-01/20E/36-0146	42.49724148	-88.08286170	F	NAD83	 841.00	5	NGVD29	297	297
USGS	422950089022501	RO-01/12E/35-0343	42.49723730	-89.04038760	F	NAD83	 744.00	5	NGVD29	113	135
USGS	422954088432301	WW-01/15E/33-0584	42.49835000	-88.72315910	F	NAD83	 1000.00	5	NGVD29		
USGS	422956087524601	KE-01/22E/34-0301	42.49890920	-87.87952010	F	NAD83	 712.00	  5	NGVD29	1962	1962
USGS	422956088432301	WW-01/15E/33-0004	42.49890554	-88.72315920	F	NAD83	 1000.00	5	NGVD29	626	626
USGS	422957088111701	KE-01/19E/36-0171	42.49918548	-88.18814360	F	NAD83	 762.00	5	NGVD29	216	216
USGS	423002087512401	KE-01/22E/35-0247	42.50057600	-87.85674140	F	NAD83	 705.00	5	NGVD29	300	311
USGS	423003087514201	KE-01/22E/35-0246	42.50085375	-87.86174160	F	NAD83	 730.00	5	NGVD29	180	180
USGS	423004089181601	RO-01/10E/34-0534	42.50112326	-89.30455900	S	NAD83	 750.00	5	NGVD29	485	485
USGS	423005087553501	KE-02/21E/17-0239	42.50140889	-87.92646650	F	NAD83	 710.00	5	NGVD29	63.0	63.0
USGS	423007087501901	KE-01/22E/36-0071	42.50196500	-87.83868510	F	NAD83	 658.00	5	NGVD29	177	177
USGS	423007088305501	1N17E-32.6E	42.50330556	-88.51555560	1	NAD83	 1010	 10	NGVD29	163	163
USGS	423008088404001	WW-01/15E/36-0573	42.50223908	-88.67788050	S	NAD83	 968.00	  5	NGVD29	520	520
USGS	423009088150801	KE-01/19E/16-0043	42.50251850	-88.25231280	F	NAD83	 902.00	5	NGVD29	250	250
USGS	423010089022001	RO-01/12E/35-0189	42.50279277	-89.03899880	T	NAD83	 737.00	5	NGVD29	489	489
USGS	423010089022002	RO-01/12E/35-0188	42.50279277	-89.03899880	T	NAD83	 737.00	5	NGVD29	100	100
USGS	423010089022901	RO-01/12E/35-0487	42.50279270	-89.04149890	M	NAD83	 780.00	5	NGVD29	119	119
USGS	423011087570901	KE-01/21E/36-0121	42.50307538	-87.95257880	F	NAD83	 748.00	5	NGVD29	282	282
