agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	400231105095601	35-069-05ab 01	43.04163386	-105.16414300	S	NAD83	 4790.00	  1	NGVD29	380	
USGS	405947109012001	12N 103W 21BC 01	40.99634817	-109.02289780	F	NAD83	 8526.00	200	NGVD29		
USGS	405950108402301	12N 100W 21   01	40.99718400	-108.67372080	F	NAD83	 6665.00	200	NGVD29		
USGS	405953108322901	12N 099W 22   01	40.99801820	-108.54205000	F	NAD83	 6944.00	200	NGVD29		
USGS	405957108574501	12N 103W 13AB 01	40.99912620	-108.96317360	F	NAD83	 7696.00	200	NGVD29		
USGS	405958108172301	12N 097W 23AA 01	40.99940840	-108.29037300	F	NAD83	 6678.00	200	NGVD29		
USGS	405959104463401	12-066-21aab01	40.99977778	-104.77611110	S	NAD83	 6170	 10	NGVD29	520	520
USGS	410000104143001	SB01206119AAB	41.00248385	-104.24356330	M	NAD83	 5278.00	5.	NGVD29		
USGS	410000104152501	SB01206119BBB	41.00192825	-104.25745260	M	NAD83	 5293.00	5.	NGVD29		
USGS	410000104180801	SB01206222ABB	41.00220578	-104.30273170	M	NAD83	 5322.00	5.	NGVD29		
USGS	410000104463501	12-066-21aab02	40.99991667	-104.77633330	S	NAD83	 6170	 10	NGVD29	480	480
USGS	410003104211101	12-062-19aaa01	40.99831665	-104.35162200	T	NAD83	 5340.00	 10	NGVD29	85.0	
USGS	410003108085901	12N 096W 24AA 01	41.00079775	-108.15036640	F	NAD83	 6647.00	200	NGVD29		
USGS	410003108092901	12N 096W 24BBB01	41.00079770	-108.15870010	F	NAD83	 6624.00	200	NGVD29		
USGS	410004104572901	12-068-13ccd01	41.00105556	-104.95802780	S	NAD83	 6197	  5	NGVD29	125	125
USGS	410004108071301	12N 095W 21   01	41.00107560	-108.12092050	F	NAD83	 6523.00	200	NGVD29		
USGS	410007104150801	12-061-19bab01	40.99748387	-104.25023000	T	NAD83	 5290.00	 10	NGVD29	112	
USGS	410007104152501	12-061-19bbb01	40.99748384	-104.25495240	T	NAD83	 5293.00	 10	NGVD29	152	
USGS	410008104105301	12-061-15ddd01	41.00178056	-104.18181940	S	NAD83	 5223	  5	NGVD29	48	48
USGS	410008104180701	12-062-22aba01	40.99776138	-104.29967600	T	NAD83	 5325	 10	NGVD29	125	
USGS	410008104181101	12-062-22abb01	41.00236110	-104.30383330	S	NAD83	 5327	  5	NGVD29	125	
USGS	410009104143501	12-061-19aab01	41.00248385	-104.24356330	S	NAD83	 5277	  5	NGVD29	125	
USGS	410010106272301	12-081-14dcc01	41.00274894	-106.45697510	S	NAD83	 8052.00	  2	NGVD29	70.0	
USGS	410011104172801	12-062-14cdd01	41.00303917	-104.29162030	S	NAD83	 5312	  5	NGVD29	65	
USGS	410015105460801	13-075-14d  01	41.00414496	-105.76944230	M	NAD83	 7910.00	 10	NGVD29	128	
USGS	410015108584801	12N 103W 11CA 01	41.00412610	-108.98067400	F	NAD83	 9404.00	200	NGVD29		
USGS	410015109410101	12-109-22cad01	41.00412570	-109.68431460	T	NAD83	 6200.00	 50	NGVD29	16.0	
USGS	410017108584801	12N 103W 11AB 01	41.00468167	-108.98067400	F	NAD83	 9224.00	200	NGVD29		
USGS	410019104240701	12-063-14cdb01	41.00220525	-104.40162360	T	NAD83	 5379	  5	NGVD29	195	195
USGS	410019104480701	12-066-17cac01	41.00526075	-104.80246820	S	NAD83	 6294	 10	NGVD29	208	
USGS	410021104063301	12-060-17dbd01	41.00276180	-104.11022780	T	NAD83	 5228	  5	NGVD29	215	
USGS	410021104070501	12-060-17cac01	41.00276179	-104.11717240	T	NAD83	 5194	  5	NGVD29	130	
USGS	410021104230601	12-063-13cbd01	41.00581640	-104.38551200	S	NAD83	 5375	  5	NGVD29	240	240
USGS	410023104161601	12-062-13cbd01	41.00303928	-104.27134190	T	NAD83	 5300	  5	NGVD29	150	150
USGS	410025104234801	12-063-14dbd01	41.00387190	-104.39440120	T	NAD83	 5375	  5	NGVD29	170	170
USGS	410025106235501	12-080-17dad01	41.00691636	-106.39919490	S	NAD83	 7990.00	 20	NGVD29		
USGS	410025108143501	12-096-18dda01	41.00686110	-108.24316670	5	NAD83	 6835	 10	NGVD29	400	400
USGS	410028104035201	12-060-14cb 01	41.00772220	-104.06447220	S	NAD83	 5445	  5	NGVD29		
USGS	410028107432301	12-092-14cbd01	41.00774250	-107.72368270	S	NAD83	 6250.00	 20	NGVD29		
USGS	410031104282101	12-063-18acd01	41.00872220	-104.47261110	S	NAD83	 5495	  5	NGVD29	180	180
USGS	410032104520801	12-067-15add01	41.00891667	-104.86883330	S	NAD83	 6157	  5	NGVD29		
USGS	410032107392001	12N 091W 17CD 01	41.00885375	-107.65618050	F	NAD83	 6458.00	200	NGVD29		
USGS	410032107402801	12N 091W 18C  01	41.00885370	-107.67507000	F	NAD83	 6292.00	200	NGVD29		
USGS	410033104145501	12-061-18ca 01	41.00387270	-104.24884120	T	NAD83	 5290.00	 10	NGVD29	157	
USGS	410033104223601	12-063-13dba01	41.00897220	-104.37741670	S	NAD83	 5370	  5	NGVD29	130	130
USGS	410033104292501	12-063-13acd01	41.00748310	-104.37523400	T	NAD83	 5660	  5	NGVD29	105	
USGS	410033108004001	12N 094W 18DA 01	41.00913135	-108.01174850	F	NAD83	 6403.00	200	NGVD29		
USGS	410034104152401	12-061-18cbb01	41.00942817	-104.25717490	S	NAD83	 5296	 10	NGVD29	152	
